Id,Title,Description,Publisher,Author,Isbn,Edition,Released year,Retail price,University,Image,Created at,Updated at,Department,Semester,Pages
188,Computer Organization,,Techmax,Sultania Dilip Kumar,978-93-5077-418-2,,,425,Pune University,/uploads/book/image/188/computer_organizationc2874435-2be3-4b18-9af7-1aa4d4bcd189.jpg,2014-06-26 03:05:56 UTC,2014-06-26 03:05:56 UTC,E & TC (ECE::E & TC),4,
189,Integrated Circuits,,Techmax,Katre J. S.,978-93-5077-434-2,,,465,Pune University,/uploads/book/image/189/integrated_circuitsd6356fc9-ed6b-4c05-873e-cb225b703206.jpg,2014-06-26 03:05:56 UTC,2014-06-26 03:05:56 UTC,E & TC (ECE::E & TC),4,
190,Analog Communication,,Techmax,Katre J. S.,978-93-5077-433-5,,,495,Pune University,/uploads/book/image/190/analog_communicationf433c9a4-3ebc-46cf-82b1-e42786b6f52a.jpg,2014-06-26 03:05:57 UTC,2014-06-26 03:05:57 UTC,E & TC (ECE::E & TC),4,
191,Fundamentals of Microprocessor & Microcontroller,,Techmax,Shah Urvashi S.,978-93-5077-440-3,,,595,Pune University,/uploads/book/image/191/fundamentals_of_microprocessor___microcontroller907b99b1-19d8-40d5-a1df-1b0a772c42e8.jpg,2014-06-26 03:05:58 UTC,2014-06-26 03:05:58 UTC,Electrical Engg (ELE),4,
192,Power System I,,Techmax,Bankar Deepak S.,978-93-5077-430-4,,,285,Pune University,/uploads/book/image/192/power_system_i5fda6bbd-d7a8-4fc8-b5b2-f68600e1d353.jpg,2014-06-26 03:05:59 UTC,2014-06-26 03:05:59 UTC,Electrical Engg (ELE),4,
193,Network analysis,,Techmax,Katre J. S.,978-93-5077-445-8,,,595,Pune University,/uploads/book/image/193/network_analysis7c74f0ee-023d-4552-af0a-0a51fb86a113.jpg,2014-06-26 03:06:00 UTC,2014-06-26 03:06:00 UTC,Electrical Engg (ELE),4,
194,Electrical Machines I,,Techmax,Katre J. S.,978-93-5077-452-6,,,395,Pune University,/uploads/book/image/194/electrical_machines_idce3faa6-3894-4cbc-a31e-c189820a7886.jpg,2014-06-26 03:06:01 UTC,2014-06-26 03:06:01 UTC,Electrical Engg (ELE),4,
195,Numerical Methods and Computer Programming,,Techmax,Auti A. B,978-93-5077-457-1,,,495,Pune University,/uploads/book/image/195/numerical_methods_and_computer_programmingaeea9fd2-78f6-4892-82eb-38e2f2a7660e.jpg,2014-06-26 03:06:02 UTC,2014-06-26 03:06:02 UTC,Electrical Engg (ELE),4,
196,Microprocessors and Interfacing Techniques,,Techmax,Shah Urvashi S.,978-93-5077-428-1,,,595,Pune University,/uploads/book/image/196/microprocessors_and_interfacing_techniquesaa85c264-5d24-4df6-912b-e20767dde663.jpg,2014-06-26 03:06:02 UTC,2014-06-26 03:06:02 UTC,Comp. Sc. Engg (CSE),4,
197,Object Oriented and Multi-Core Programming,,Techmax,Medhane Darshan,978-93-5077-442-7,,,435,Pune University,/uploads/book/image/197/object_oriented_and_multi-core_programming2404604a-9071-4a2a-84a2-08103998cf6c.jpg,2014-06-26 03:06:03 UTC,2014-06-26 03:06:03 UTC,Comp. Sc. Engg (CSE),4,
198,Computer Graphics and Gaming,,Techmax,Pawale Sanjesh,978-93-5077-412-0,,,495,Pune University,/uploads/book/image/198/computer_graphics_and_gaming7ccc5546-4904-4a5b-b0fa-c114091d178b.jpg,2014-06-26 03:06:04 UTC,2014-06-26 03:06:04 UTC,Comp. Sc. Engg (CSE),4,
199,Engineering Maths - III,,Techmax,Mitkari Santosh,978-93-5077-467-0,,,495,Pune University,/uploads/book/image/199/engineering_maths_-_iii2b97985a-8831-409c-9247-b3c68c567ce5.jpg,2014-06-26 03:06:05 UTC,2014-06-26 03:06:05 UTC,Comp. Sc. Engg (CSE),4,
200,Structural Analysis - I,,Techmax,Shinde Tukaram,978-93-5077-439-7,,,465,Pune University,/uploads/book/image/200/structural_analysis_-_i3c4c1f74-1e0e-4d0d-9402-b6183f9264e6.jpg,2014-06-26 03:06:06 UTC,2014-06-26 03:06:06 UTC,Civil Engg (CIVIL),4,
201,Concrete Technology,,Techmax,Jain Indrajeet M.,978-93-5077-446-5,,,295,Pune University,/uploads/book/image/201/concrete_technologyb15016fa-0931-4b04-b86e-ff3138878265.jpg,2014-06-26 03:06:07 UTC,2014-06-26 03:06:07 UTC,Civil Engg (CIVIL),4,
202,Computer Networks,,Techmax,Katre J. S.,81-P504,,,385,Pune University,/uploads/book/image/202/computer_networks09cdedc0-ddee-47f5-b1fc-37d5fff43da8.jpg,2014-06-26 03:06:08 UTC,2014-06-26 03:06:08 UTC,Comp. Sc. Engg (CSE),6,
203,Analog Communication,,Techmax,Katre J. S.,978-93-5077-433-5,,,495,Pune University,/uploads/book/image/203/analog_communication099433d7-64e4-4d54-b53a-9ce328bdf870.jpg,2014-06-26 03:06:09 UTC,2014-06-26 03:06:09 UTC,E & TC (ECE::E & TC),4,
204,8051 Microcontroller & Embedded System,,Techmax,Kukre Vijay N.,81- P298,,,210,Pune University,/uploads/book/image/204/8051_microc.___embedded_system1f938d02-0a66-4765-b852-e1e0f5e0760b.jpg,2014-06-26 03:06:10 UTC,2014-06-26 03:06:10 UTC,Computer Science (B.Sc.Comp.),2,
205,Object Orienented Concepts & Programming in C++,,Techmax,Pawar Alok,81-P505,,,285,Pune University,/uploads/book/image/205/object_orien.con._prog_in_c3856c997-8e9a-4e68-b946-c78529212f38.jpg,2014-06-26 03:06:11 UTC,2014-06-26 03:06:11 UTC,Computer Science (B.Sc.Comp.),2,
206,Computational Geometry,,Techmax,Langote U. B.,81-P506,,,210,Pune University,/uploads/book/image/206/computational_geometry1a525f5d-6ca2-46f6-a4f7-520ce8aa0ff6.jpg,2014-06-26 03:06:12 UTC,2014-06-26 03:06:12 UTC,Computer Science (B.Sc.Comp.),2,
207,Digital Signal Processing,,Techmax,Katre J. S.,81-P520,,,170,Pune University,/uploads/book/image/207/digital_signal_processinga856029e-e4c1-4956-8a9e-37c09957ce26.jpg,2014-06-26 03:06:12 UTC,2014-06-26 03:06:12 UTC,Computer Science (B.Sc.Comp.),2,
208,Business Application,,Techmax,Kulkarni S.,978-81-8492-006-2,,,185,Pune University,/uploads/book/image/208/business_application6414bf4d-6fba-4c2f-ba1c-f4ee5f2a987a.jpg,2014-06-26 03:06:13 UTC,2014-06-26 03:06:13 UTC,Computer Science (B.Sc.Comp.),4,
209,Computer Networks - II,,Techmax,Katre J. S.,81-P480,,,160,Pune University,/uploads/book/image/209/computer_networks_-_ii8e2e1c93-fe3f-4120-9369-e8f957a181da.jpg,2014-06-26 03:06:14 UTC,2014-06-26 03:06:14 UTC,Computer Science (B.Sc.Comp.),4,
210,Web Development & PHP Programming II,,Techmax,Padmawar Neelima V.,81-P492,,,180,Pune University,/uploads/book/image/210/web_deve.___php_prog._iie527cf5f-80af-4d67-9799-3d198aff5e84.jpg,2014-06-26 03:06:15 UTC,2014-06-26 03:06:15 UTC,Computer Science (B.Sc.Comp.),4,
211,Programming In Java - II,,Techmax,Padmawar Neelima V.,81-P515,,,200,Pune University,/uploads/book/image/211/programming_in_java_-_ii9cfffacb-0dfc-4726-bf5c-0378994952fc.jpg,2014-06-26 03:06:16 UTC,2014-06-26 03:06:16 UTC,Computer Science (B.Sc.Comp.),4,
212,Systems Programming &Operating Systems II,,Techmax,Patil Sharada,81-P516,,,240,Pune University,/uploads/book/image/212/syst.prog__operating_syst._iicd010c4b-1baf-4d0b-bb96-383cb0fd115b.jpg,2014-06-26 03:06:17 UTC,2014-06-26 03:06:17 UTC,Computer Science (B.Sc.Comp.),4,
213,Theoretical Computer Science & Compiler Construction II,,Techmax,Patil Sharada,81-P519,,,235,Pune University,/uploads/book/image/213/tcs.__compiler_construction_ii21ea31b6-0074-4869-b141-5cf0779e3546.jpg,2014-06-26 03:06:18 UTC,2014-06-26 03:06:18 UTC,Computer Science (B.Sc.Comp.),4,
214,Object Oriented Programming with C++,,Techmax,Alok Pawar,978-93-5077-180-8,,,245,Pune University,/uploads/book/image/214/object_oriented_programming_with_c%2B%2B3c4b71b2-264e-4008-8251-a6fa943a3434.jpg,2014-06-26 03:06:19 UTC,2014-06-26 03:06:19 UTC,Master of Computer Application (MCA),2,
215,Operating System Concepts,,Techmax,Sultania Dilip Kumar,978-93-5077-171-6,,,160,Pune University,/uploads/book/image/215/operating_system_concepts377eddfd-fde9-4e8e-a798-ed5312d634a9.jpg,2014-06-26 03:06:20 UTC,2014-06-26 03:06:20 UTC,Master of Computer Application (MCA),2,
216,Management Information System & BI,,Techmax,Padmawar Neelima V.,978-93-5077-192-1,,,135,Pune University,/uploads/book/image/216/management_information_system___bib1d254dc-596e-40b5-bc8e-b7f297dc151f.jpg,2014-06-26 03:06:20 UTC,2014-06-26 03:06:20 UTC,Master of Computer Application (MCA),2,
217,Enterprise Resource Planning,,Techmax,Kulkarni S.,978-81-8407-897-8PME5A,,,130,Pune University,/uploads/book/image/217/enterprise_resource_planningc39bbb20-bf94-4485-b38b-9444f9f1f77a.jpg,2014-06-26 03:06:21 UTC,2014-06-26 03:06:21 UTC,Master of Computer Application (MCA),2,
218,Procedure Oriented Programming using C,,Techmax,Kulkarni S.,978-93-5077-409-0,,,260,Pune University,/uploads/book/image/218/procedure_oriented_programming_using_cd1e02de1-87fc-48ce-8201-d2e287fc892e.jpg,2014-06-26 03:06:22 UTC,2014-06-26 03:06:22 UTC,Bachelor of Computer Application (BCA),2,
219,Database Management Systems,,Techmax,Kulkarni S.,978-93-5077-417-5,,,160,Pune University,/uploads/book/image/219/database_management_systemsa38b3f75-987c-44a5-bc05-534fa8cb8620.jpg,2014-06-26 03:06:23 UTC,2014-06-26 03:06:23 UTC,Bachelor of Computer Application (BCA),2,
220,E-Commerce Concepts,,Techmax,Alok Pawar,978-93-5077-426-7,,,100,Pune University,/uploads/book/image/220/e-commerce_concepts1f736a5e-0954-4726-a33a-625177355cd3.jpg,2014-06-26 03:06:24 UTC,2014-06-26 03:06:24 UTC,Bachelor of Computer Application (BCA),2,
221,Engineering Metallurgy (Lab Manual),,Techmax,Deshpande Sunil,978-93-5077-425-0,,,75,Pune University,/uploads/book/image/221/engineering_metallurgy_lab_manual_acf8d01d-19e5-4e44-b8d4-8c63dc00331f.jpg,2014-06-26 03:06:25 UTC,2014-06-26 03:06:25 UTC,Mechanical Engg (ME),4,
222,Organizational Behavior,,Techmax,Kulkarni S.,978-93-5077-432-8,,,110,Pune University,/uploads/book/image/222/organizational_behavior01de71a4-43ea-47bc-a147-41322b211b4e.jpg,2014-06-26 03:06:26 UTC,2014-06-26 03:06:26 UTC,Bachelor of Computer Application (BCA),2,
223,Engineering Chemistry,,Techmax,Walekar V. K.,978-93-5077-058-0,,,370,Pune University,/uploads/book/image/223/engineering_chemistry5d65e109-214f-42a5-b362-33137ecadd6c.jpg,2014-06-26 03:06:27 UTC,2014-06-26 03:06:27 UTC,First Year Engg (FE),2,
224,Testing of Materials (Lab Manual),,Techmax,Sajjan V  Wagh,978-93-5077-444-1,,,95,Pune University,/uploads/book/image/224/testing_of_materials__lab_manual_7a6a84d8-4f95-4cca-a8bd-fe6e1ef7ece0.jpg,2014-06-26 03:06:28 UTC,2014-06-26 03:06:28 UTC,Civil Engg (CIVIL),4,
225,Engineering Physics,,Techmax,Nandi K. C.,978-93-5077-063-4,,,370,Pune University,/uploads/book/image/225/engineering_physics3337f3e3-a092-466d-b72e-8097c254bd81.jpg,2014-06-26 03:06:28 UTC,2014-06-26 03:06:28 UTC,First Year Engg (FE),2,
226,Basic Electrical Engineering,,Techmax,Katre J. S.,978-93-5077-061-0,,,330,Pune University,/uploads/book/image/226/basic_electrical_engineering1113c71f-0964-42b0-a759-a39022a9d725.jpg,2014-06-26 03:06:29 UTC,2014-06-26 03:06:29 UTC,First Year Engg (FE),2,
227,Basic Electronics Engineering,,Techmax,Katre J. S.,978-93-5077-057-3,,,330,Pune University,/uploads/book/image/227/basic_electronics_engineering24339a99-5e14-43af-bac4-d566d55a9365.jpg,2014-06-26 03:06:30 UTC,2014-06-26 03:06:30 UTC,First Year Engg (FE),2,
228,Introduction To Systems Programming & Operating System,,Techmax,Patil Sharada,81-P499,,,215,Pune University,/uploads/book/image/228/introduction_to_system.prog.___operating_systema1054106-19b1-4c8b-99db-ea4464129442.jpg,2014-06-26 03:06:31 UTC,2014-06-26 03:06:31 UTC,Bachelor of Computer Application (BCA),6,
229,Architectural Planning and Design of Buildings,,Techmax,Sajjan V  Wagh,978-93-5077-448-9,,,275,Pune University,/uploads/book/image/229/architectural_planning_and_design_of_buildingsaa4f0add-1e25-4c22-9ee8-be63cfdf5fa0.jpg,2014-06-26 03:06:32 UTC,2014-06-26 03:06:32 UTC,Civil Engg (CIVIL),4,
230,Electrical Machines-I,,Techmax,Katre J. S.,,,,0,Pune University,/uploads/book/image/230/electrrical_machines-i10eecf5d-fcc4-4dbb-a8ce-bc7048d5fd58.jpg,2014-06-26 03:06:33 UTC,2014-06-26 03:06:33 UTC,Electrical Engg (ELE),4,
231,Engineering Geology,,Techmax,Hulsure Vishal,978-93-5077-454-0,,,225,Pune University,/uploads/book/image/231/engineering_geology95f834db-2ef6-4831-8f69-fa7df9a7e5c2.jpg,2014-06-26 03:06:34 UTC,2014-06-26 03:06:34 UTC,Civil Engg (CIVIL),4,
232,Java Programming,,Techmax,Pawar Alok,978-93-5077-461-8,,,245,Pune University,/uploads/book/image/232/java_programming999f3d13-ca55-49d1-bcbe-491367694113.jpg,2014-06-26 03:06:35 UTC,2014-06-26 03:06:35 UTC,Master of Computer Application (MCA),4,
233,Mobile Computing,,Techmax,Jain Parita,978-93-5077-463-2,,,195,Pune University,/uploads/book/image/233/mobile_computing2da214c8-779e-44df-9cd4-eb6d32e1d4df.jpg,2014-06-26 03:06:36 UTC,2014-06-26 03:06:36 UTC,Master of Computer Application (MCA),4,
234,Optimization Technique,,Techmax,Kale Vaibhav,978-93-5077-464-9,,,185,Pune University,/uploads/book/image/234/optimization_technique0346632c-090e-4e91-b6a4-603894f15d56.jpg,2014-06-26 03:06:36 UTC,2014-06-26 03:06:36 UTC,Master of Computer Application (MCA),4,
235,Information Security and Audit,,Techmax,Padmawar Neelima V.,978-93-5077-476-2,,,140,Pune University,/uploads/book/image/235/information_security_and_auditdfb2849c-43a3-40af-93ee-e325596c6db7.jpg,2014-06-26 03:06:37 UTC,2014-06-26 03:06:37 UTC,Master of Computer Application (MCA),4,
236,Basic Electrical Engineering,,Techmax,Katre J. S.,978-93-5077-061-0,,,330,Pune University,/uploads/book/image/236/basic_electrical_engineering90b8ae02-9867-4244-8a94-aa1dca084114.jpg,2014-06-26 03:06:38 UTC,2014-06-26 03:06:38 UTC,First Year Engg (FE),2,
237,Human Anatomy & Physiology II,,Techmax,Chandrashekhar D Upasani,978-93-5077-489-2,,,140,Pune University,/uploads/book/image/237/human_anatomy___physiology_ii8cc9885b-cf73-42ea-b0aa-6cc0407b14fd.jpg,2014-06-26 03:06:39 UTC,2014-06-26 03:06:39 UTC,Pharmacy (Ph),2,
238,Pharmaceutics II,,Techmax,Madgulkar Ashwini,978-93-5077-492-2,,,90,Pune University,/uploads/book/image/238/pharmaceutics_ii752fd011-788b-4247-b809-8362d9ebdcf9.jpg,2014-06-26 03:06:40 UTC,2014-06-26 03:06:40 UTC,Pharmacy (Ph),2,
239,Design & Analysis of Algorithms,,Techmax,Alok Pawar,978-93-5077-497-7,,,145,Pune University,/uploads/book/image/239/design___analysis_of_algorithms718766d0-1681-4115-8a39-11c5cd8b68a6.jpg,2014-06-26 03:06:41 UTC,2014-06-26 03:06:41 UTC,Master of Computer Application (MCA),4,
240,Pharmaceutical Organic chemistry II,,Techmax,Kalyani D Asgaonkar,978-93-5077-505-9,,,150,Pune University,/uploads/book/image/240/pharmaceutical_organic_chemistry_iie24e7029-5740-42d1-bad5-0b1a0d1c3ad0.jpg,2014-06-26 03:06:41 UTC,2014-06-26 03:06:41 UTC,Pharmacy (Ph),2,
241,Pharmacognosy,,Techmax,Abhyankar Mukta,978-93-5077-508-0,,,150,Pune University,/uploads/book/image/241/pharmacognosyb6cc0bba-7d79-4fe0-81bb-862dcba90bf6.jpg,2014-06-26 03:06:42 UTC,2014-06-26 03:06:42 UTC,Pharmacy (Ph),2,
242,High Voltage Engineering,,Techmax,Chaudhari M.A.,978-93-5077-510-3,,,235,Pune University,/uploads/book/image/242/high_voltage_engineering41440fce-f5b0-4707-82ef-068d47f0bdbc.jpg,2014-06-26 03:06:43 UTC,2014-06-26 03:06:43 UTC,Electrical Engg (ELE),8,
243,Pharmaceutical Analysis I,,Techmax,Khandelwal K. R.,978-93-5077-512-7,,,140,Pune University,/uploads/book/image/243/pharmaceutical_analysis_ia71b5c0f-925c-45d8-a192-ae56f985c017.jpg,2014-06-26 03:06:44 UTC,2014-06-26 03:06:44 UTC,Pharmacy (Ph),2,
244,Engineering Chemistry,,Techmax,Walekar V. K.,978-93-5077-058-0,,,370,Pune University,/uploads/book/image/244/engineering_chemistrya659684b-be74-4307-a69e-829300911565.jpg,2014-06-26 03:06:45 UTC,2014-06-26 03:06:45 UTC,First Year Engg (FE),2,
245,Statistical Process Control With Applications,,Techmax,Banerjee Basudev,978-93-5077-526-4,,,700,Pune University,/uploads/book/image/245/statistical_process_control_with_applications7be559a4-eb2b-4a21-b611-9bbaa05a0694.jpg,2014-06-26 03:06:46 UTC,2014-06-26 03:06:46 UTC,Common to All Branches,0,
246,Java Programming,,Techmax,Pawar Alok,978-93-5077-461-8,,,245,Pune University,/uploads/book/image/246/java_programming025aad2d-8060-4755-8f2f-e2b81b0778d2.jpg,2014-06-26 03:06:46 UTC,2014-06-26 03:06:46 UTC,Master of Computer Application (MCA),4,
247,ELECTRICAL MAINTENANCE,"Part I 1 Symbols Used InElectric Circuit 2 Circuit Diagram And Panel Writing Diagram 3 Fuses 4 Conductors, Guage of Conductor, Insulators, Semiconductors & High Resistance Heating Elements 5 Types of Wires & Wiring Accessories 6 Writing System 7 House Wriing, Godown Wiring, H. T. Wiring Diagrams & Rules 8 Undergraound Cables 9 Iiiumination 10 Electrical Appliances Part II 1 Transformers 2 Single Phase Motors 3 Theory of Roatating Magnetic Field and 3-Phase Induction Motors 4 Synchronous Motors 5 Measuring Instruments 6 Electric Heating 7 Parallel Operation of 3-Phase Alternators 8 H V Substation 9 Maintenance 10 Miscellaneous",Nirali,"M A CHAUDHARY,",,Fifth,,65,Pune University,/uploads/book/image/247/N0171.jpg,2014-06-26 03:06:47 UTC,2014-06-26 03:06:47 UTC,"",,178
248,UNIT OPERATIONS-I,Introduction - Size Reduction - Size Separation of Solids - Methods of Separation of Solids based on Specific Properties - Filtration and Sedimentation - Mixing - Flow of Fluids - Transportation of Fluids - Appendix - I - Try Yourself - Appendix - II - velocity Boundary Layer,Nirali,"KA GAVHANE,",,Twenty Third,,280,Pune University,/uploads/book/image/248/N0767.jpg,2014-06-26 03:06:48 UTC,2014-06-26 03:06:48 UTC,"",,338
249,INTRODUCTION TO PROCESS CALCULATIONS (STOICHIOMETRY),Units and Dimensions - Basic Chemical Calculations - Material Balances Without Chemical Reactions - Material Balances with Chemical Reaction - Recycle Operations - Enery Balances - Stoichiometric Aspects of Unit Operations - Combustion,Nirali,"KA GAVHANE,",,Twenty Eight,,450,Pune University,/uploads/book/image/249/N0768.jpg,2014-06-26 03:06:49 UTC,2014-06-26 03:06:49 UTC,"",,520
250,UNIT OPERATIONS-II,Introduction - Conduction - Convection - Radiation - Heat Exchange Equipments - Evaporation - Diffusion - Distillation - Gas Absorption - Liquid Liquid Extraction - Crystallisation - Drying - Appendix I Try yourself - Appendix II Thermal conductivity data - Appendix III Steam tables,Nirali,"KA GAVHANE,",,Twenty Seventh,,340,Pune University,/uploads/book/image/250/N0901.jpg,2014-06-26 03:06:50 UTC,2014-06-26 03:06:50 UTC,"",,443
251,PROCESS INSTRUMENTATION AND CONTROL,Fundamentals of Process Instrumentation - Temperature Measuring Instruments - Pressure and Strain Measurements - Level Measuring Instruments - Flow Measuring Instruments - Instrumental Methods of Chemical Analysis - Fundamentals of Process Dynamics - Feedback Control Systems - Exercises,Nirali,"AP KULKARNI,",,Fifteenth,,275,Pune University,/uploads/book/image/251/N0904.jpg,2014-06-26 03:06:51 UTC,2014-06-26 03:06:51 UTC,"",,410
252,CHEMICAL PROCESS & EQUIPMENT DESIGN,Symbols IS 3232 - Valves - Pipe Joints - Supports for Pipes  and Vessels - Fabrication Drawing - Specification Sheet - Flowsheeting,Nirali,"KA GAVHANE,",,Fifth,,100,Pune University,/uploads/book/image/252/N0905.jpg,2014-06-26 03:06:52 UTC,2014-06-26 03:06:52 UTC,"",,140
253,ENGINEERING MATHEMATICS-III,"Linear Differential Equations with Constant Coefficients - Simultaneous Linear Differential Equations - Applications of Differential Equations - Applications of Partial Differential Equations - System of Linear Equations - Numerical Solution of Ordinary Differential Equations - Statistics, Correlation and Regression - Probability and Probability Distributions - Vector Algebra - Vector Differentiation - Vector Integration - Application of Vectors to Fluid Mechanics - Model Question Paper - University Question Papers Dec-2009- May-2011",Nirali,"DR MY GOKHALE,    DR NS MUJUMDAR,    KR ATAL,    SS KULKARNI,    AN SINGH,",,Third,,400,Pune University,/uploads/book/image/253/N0941.jpg,2014-06-26 03:06:53 UTC,2014-06-26 03:06:53 UTC,"",,590
254,BUILDING MATERIALS AND CONSTRUCTION,Introduction to Building Construction - Stone and Brick Masonry - Block Masonry - Form Work - Flooring Materials - Roofing Materials - Doors and Windows - Arches and Lintels - Protective Coatings - Vertical Circulation - Safety in Construction - Miscellaneous Materials - Glass - University Question Papers,Nirali,"VS LIMAYE,      DR RK JAIN,    RV JADHAV,    VR PHADKE,",,Third,,260,Pune University,/uploads/book/image/254/N0942.jpg,2014-06-26 03:06:54 UTC,2014-06-26 03:06:54 UTC,"",,345
255,STRENGTH OF MATERIALS,UNIT I - Simple Stresses and Strains part-I - Simple Stresses and Strains Part - II UNIT II- Shear Force and Bending Moment Part-A- Shear Force and Bending Moment Part - B- UNIT III - Bending Stresses in Beams - Shear Stress Distribution in Beams - UNIT IV- Torsion - Strain Energy - UNIT V - Principal Stresses and Strains - Combined Loading - UNIT VI- Columns - Direct and Bending Stresses - University Question Papers,Nirali,"HM SOMAYYA,    SR PAREKAR,",,Second,,390,Pune University,/uploads/book/image/255/N0943.jpg,2014-06-26 03:06:55 UTC,2014-06-26 03:06:55 UTC,"",,582
256,ENGINEERING GEOLOGY,"Mineralogy, Petrology and General Geology - Geomorphology and Historical Geology - Structural Geology and Plate Tectonics - Preliminary Geological Studies and Remote Sensing - Geological Hazards, Ground Water and Building Stones - Role of Engineering Geology in Reservoirs, Dams and Tunnelling - Bibliography - University Question Papers",Nirali,"DR P RAO,    N S JAIN,",,Fourth,,240,Pune University,/uploads/book/image/256/N0944.jpg,2014-06-26 03:06:57 UTC,2014-06-26 03:06:57 UTC,"",,368
257,GEOTECHNICAL ENGINEERING,UNIT 1 - Introduction and Index Properties - UNIT 2 - Permeability and Seepage - UNIT 3 - Compaction and Stress Distribution - Shear Strength of Soil - UNIT 5 - Earth Pressure and Stability of Slpes - UNIT - Introduction to Rock Mechanics,Nirali,"DR R K JAIN,     S S JAIN,    V R PHADKE,",,Fourth,,335,Pune University,/uploads/book/image/257/N0945.jpg,2014-06-26 03:06:58 UTC,2014-06-26 03:06:58 UTC,"",,516
258,APPLIED THERMODYNAMICS,"Laws of Thermodynamics, Entropy, Availability, Ideal Gas Properties and Processes,  Properties of Steam and Vapour Processes, Vapour Power Cycles, Fuels and Combustion, Reciprocating Air Compressors, Rotary Air Compressors, Steam Generator, Analysis of Boilers",Nirali,"DR SN SAPALI,    SA KALE,",,First,,250,Pune University,/uploads/book/image/258/N0951.jpg,2014-06-26 03:06:58 UTC,2014-06-26 03:06:58 UTC,"",,438
259,METALLURGY,UNIT I- Plastic Deformation - UNIT II- Mechanical Testing - UNIT III - Engineering Steels and Alloys - UNIT IV - Heat Treatment of Steels - UNIT V - Cast Irons and Non-Ferrous Alloys - UNIT VI - Pyrometry and Powder Metallurgy - University Question Papers,Nirali,"AS GHOLAP,    DR MS KULKARNI,",,Second,,250,Pune University,/uploads/book/image/259/N0952.jpg,2014-06-26 03:07:00 UTC,2014-06-26 03:07:00 UTC,"",,355
260,FLUID MECHANICS,Introduction and Properties of Fluids - Fluid Pressure and its Measurement - Hydrostatic Forces on Surfaces - Buoyancy and Floatation - Kinematics of Fluid Flow - Dynamics of Fluid Flow - Laminar Flow - Introduction to Turbulent Flow - Boundary Layer Theory - Flow Through Pipes - Forces on Immersed Bodies - Dimensional Analysis - Solved University Papers - Unsolved University Papers,Nirali,"PV SHROTRI,",,Third,,350,Pune University,/uploads/book/image/260/N0953.jpg,2014-06-26 03:07:01 UTC,2014-06-26 03:07:01 UTC,"",,544
261,ENGINEERING MATHEMATICS-III,"Linear Differential Equations with Constant Coefficients - Simultaneous Linear Differential Equations - Applications of Differential Equations - Laplace Transform - Inverse Laplace Transform - Fourier Transform - Applications of Differential Equations - Laplace Transform - Inverse Laplace Transform - Fourier Transform - Applications of Partial Differential Equations - Statistics, Correlation and Regression - Probability and Probability Distributions - Vector Algebra - Vector Differentiation - Vector Integration - Model Question Paper - University Question Papers",Nirali,"AN SINGH,    DR MY GOKHALE,    DR NS MUJUMDAR,",,Fifth,,400,Pune University,/uploads/book/image/261/N0956.jpg,2014-06-26 03:07:02 UTC,2014-06-26 03:07:02 UTC,"",,644
262,MANUFACTURING PROCESSES,SECTION I-UNIT I-Casting Proceses - UNIT II- Metal Forming Processes - UNIT III - Joining Processes - SECTION II - UNIT IV - Centre Lathe Machine - UNIT V - Milling Machines - Drilling Machines - Planning and Boring Machines - UNIT VI - Grinding Machines,Nirali,"AK BEWOOR,    SS  KUBER,",,First,,180,Pune University,/uploads/book/image/262/N0957.jpg,2014-06-26 03:07:03 UTC,2014-06-26 03:07:03 UTC,"",,298
263,SIGNALS & SYSTEMS,Introduction to Signals and Systems - System Analysis - System Analysis in Frequency Domain Using Fourier Transform - System Analysis in Frequency Domain Using Laplace Transform - Correction and Spectral Density - Probability Random Variables and Random Processes - Summary - Important Formulae - Questions - Appendix A - D - University Solved Question Papers,Nirali,"DR Y RAVINDER,",,First,,325,Pune University,/uploads/book/image/263/N0961.jpg,2014-06-26 03:07:04 UTC,2014-06-26 03:07:04 UTC,"",,574
264,SOLID STATE DEVICES & CIRCUITS,"Diode Circuit Analysis,  Metal Oxide Semiconductor Field Effect Transistors (MOSFETs), MOSFET DC and Small Signal Analysis, Bipolar junction Transistor, Frequency Response, BJT High Frequency Analysis , Feedback Amplifier, Oscillators, Large Signal Low Frequency Amplifiers",Nirali,"GS MUNDADA,",,First,,475,Pune University,/uploads/book/image/264/N0962.jpg,2014-06-26 03:07:05 UTC,2014-06-26 03:07:05 UTC,"",,822
265,NETWORK ANALYSIS,Basic Circuits Analysis and Simplification Techniques - Frequency Selective Networks - Filters and Attenuators - Laplace Transform and its Applications in Circuit Analysis - Two port Parameters and Network Functions Transmission Lines - University Solved Question papers,Nirali,"SM INGAWALE,    MV MUNOT,    PV BHAT,    VS HENDRE,",,Second,,415,Pune University,/uploads/book/image/265/N0963.jpg,2014-06-26 03:07:06 UTC,2014-06-26 03:07:06 UTC,"",,763
266,DIGITAL LOGIC DESIGN,UNIT I- Combinational Logic Circuits - UNIT II- Sequential Logic Circuits - UNIT III- Introduction to HDL - UNIT IV - State Machines - UNIT V - Logic Families - UNIT VI - Programmable Logic Devices and Semiconductor Memories - Appedndix,Nirali,"DR MS NAGMODE,    PD  KHANDEKAR,    SS  KUIKARNI,",,First,,260,Pune University,/uploads/book/image/266/N0964.jpg,2014-06-26 03:07:07 UTC,2014-06-26 03:07:07 UTC,"",,430
